"카테고리","상품명","비교결과","44369 가격","44369 앱가격","44369 할인","40468 가격","40468 앱가격","40468 할인","44369 상품정보","40468 상품정보"
"Wein, Sekt & Spirituosen","Weingold Grauer Burgunder oder Müller-Thurgau Qualitätswein","동일","3.49","","-22%","3.49","","-22%","0,75 l | 4.65 / l | Deutschland, Weißwein, feinherb | statt 4.49 | 3.49*","0,75 l | 4.65 / l | Deutschland, Weißwein, feinherb | statt 4.49 | 3.49*"
"Wein, Sekt & Spirituosen","Bree Chardonay oder Pinot Noir Rose","동일","2.99","","-45%","2.99","","-45%","0,75 l | 3.99 / l | Frankreich, Weißwein, halbtrocken | Deutschland, Rosewein, feinherb | UVP 5.49 | 2.99*","0,75 l | 3.99 / l | Frankreich, Weißwein, halbtrocken | Deutschland, Rosewein, feinherb | UVP 5.49 | 2.99*"
"Wein, Sekt & Spirituosen","Secco oder Hugo","동일","0.59","","-25%","0.59","","-25%","200 ml | 2.95 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 0.79 | 0.59*","200 ml | 2.95 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 0.79 | 0.59*"
"Wein, Sekt & Spirituosen","Jim Beam","동일","10.99","","-31%","10.99","","-31%","0,7 l | 15.70 / l | versch. Sorten, 32.5 – 40 % Vol. | statt 15.99 | 10.99*","0,7 l | 15.70 / l | versch. Sorten, 32.5 – 40 % Vol. | statt 15.99 | 10.99*"
"Wein, Sekt & Spirituosen","Tanqueray London Dry Gin","동일","14.99","13.99","-36% / -31%","14.99","13.99","-36% / -31%","0,7 l | 21.41 / l | 43.1 % Vol. | UVP 21.99 | 14.99* | 13.99* | (19.99 / l)","0,7 l | 21.41 / l | 43.1 % Vol. | UVP 21.99 | 14.99* | 13.99* | (19.99 / l)"
"Wein, Sekt & Spirituosen","Sarti Rosa","동일","14.99","14.49","-19% / -16%","14.99","14.49","-19% / -16%","0,7 l | 21.41 / l | Aperitif, 14 % Vol. | UVP 17.99 | 14.99* | 14.49* | (20.70 / l)","0,7 l | 21.41 / l | Aperitif, 14 % Vol. | UVP 17.99 | 14.99* | 14.49* | (20.70 / l)"
"Knüller der Woche","Bitburger Premium Biere","40468에만","","","","10.99","","-38%","","20 x 0,5 l | 1.10 / l | zzgl. Pfand 3.10€ | versch. Sorten | statt 17.79 | 10.99*"
"Knüller der Woche","Diamant Kristall Zucker","40468에만","","","","2.00","","-32%","","3 x 1 kg | 0.66 / kg | Einzelpreis: 0.99 | statt 2.97 | 2.–*"
"Getränke","Veltins Pilsener","40468에만","","","","11.99","","-33%","","20 x 0,5 l | 1.20 / l | zzgl. Pfand 3.10€ | UVP 17.99 | 11.99*"
"Getränke","Bolten Alt","40468에만","","","","11.99","","-11%","","20 x 0,33 l | 1.82 / l | zzgl. Pfand 4.50€ | UVP 13.49 | 11.99*"
"Getränke","Veltins V+ Curuba Tequila Flavour","40468에만","","","","3.99","","-24%","","6 x 0,33 l | 2.02 / l | zzgl. Pfand 0.48€ | statt 5.29 | 3.99*"
"Getränke","Sonnländer Orangensaft","40468에만","","","","12.99","","-13%","","6 x 1 l | 2.17 / l | zzgl. Pfand 2.40€ | statt 14.99 | 12.99*"
"Obst & Gemüse","Speisefrühkartoffeln ""Pfälzer Grumbeere""","40468에만","","","","1.99","","-20%","","2 kg Netz | 1.- / kg | Deutschland, Kocheigenschaft vorwiegend festkochend | UVP 2.49 | 1.99*"
"Fleisch & Wurst","Kochhinterschinken","40468에만","","","","1.29","","-13%","","200 g | 6.45 / kg | Regionale Verpackungsabweichungen möglich | statt 1.49 | 1.29*"
"Fleisch & Wurst","Mini Rostbratwürstchen","40468에만","","","","2.49","","-10%","","300 g | 8.30 / kg | grob, gebrüht | UVP 2.79 | 2.49*"
"Kühlregal & Tiefkühlung","Peynoos Gran Formaggio Duro","40468에만","","","","1.89","","-13%","","100 g | 18.90 / kg | gekühlt, versch. Sorten | UVP 2.19 | 1.89*"
"Kühlregal & Tiefkühlung","Pinsa","40468에만","","","","2.22","","-10%","","250 g | 8.88 / kg | gekühlt | statt 2.49 | 2.22*"
"Kühlregal & Tiefkühlung","Medusa Fisch Antipasti","40468에만","","","","2.99","","-25%","","120 g | 24.92 / kg | gekühlt, versch. Sorten | UVP 3.99 | 2.99*"
"Kühlregal & Tiefkühlung","Genusswelt Tiramisu","40468에만","","","","2.69","","-10%","","500 g | 5.38 / kg | gekühlt | statt 2.99 | 2.69*"
